2026-03-09 14:29:55 | INFO | CityEngine | ========================================
2026-03-09 14:29:55 | INFO | CityEngine | Ground Zero City Intelligence Engine
2026-03-09 14:29:55 | INFO | CityEngine | System starting...
2026-03-09 14:29:55 | INFO | CityEngine | ========================================
2026-03-09 14:29:55 | INFO | CityEngine | Initializing Context Engine
2026-03-09 14:29:55 | INFO | CityEngine | Initializing Authenticity Engine
2026-03-09 14:29:55 | INFO | CityEngine | Initializing Review Intelligence Engine
2026-03-09 14:29:55 | INFO | CityEngine | Initializing Crowd Intelligence Engine
2026-03-09 14:29:55 | INFO | CityEngine | Initializing Mangalore Specialty Engine
2026-03-09 14:29:55 | INFO | CityEngine | All engines initialized successfully
2026-03-09 14:29:55 | INFO | CityEngine | Running Context Evaluation
2026-03-09 14:29:55 | INFO | CityEngine | Context Result: {'notify': False, 'context': {'time_signal': 'Neutral', 'energy_signal': 'Neutral', 'crowd_signal': 'Calm', 'safety_signal': 'Allowed'}}
2026-03-09 14:29:55 | INFO | CityEngine | Running Authenticity Scoring
2026-03-09 14:29:55 | INFO | CityEngine | Authenticity Score: 0.2
2026-03-09 14:29:55 | INFO | CityEngine | Running Review Intelligence
2026-03-09 14:29:55 | INFO | CityEngine | Review Intelligence: {'authenticity_score': 0.0, 'crowd_pressure': 0.0, 'hype_index': 0.0, 'tourist_trap_risk': 0.0, 'classification': 'low_authenticity'}
2026-03-09 14:29:55 | INFO | CityEngine | Running Crowd Intelligence
2026-03-09 14:29:55 | INFO | CityEngine | Crowd Level: {'crowd_score': 0.4, 'crowd_level': 'low'}
2026-03-09 14:29:55 | INFO | CityEngine | Running Mangalore Specialty Engine
2026-03-09 14:29:55 | INFO | CityEngine | Mangalore Specialty Score: {'city': 'Mangalore', 'generated_at': '2026-03-09T08:59:55.549067', 'must_eat': [], 'must_visit': [], 'must_buy': [], 'note': 'Specialty dataset not found. Run specialty_dataset_builder first.'}
2026-03-09 14:29:55 | INFO | CityEngine | City Intelligence evaluation completed
2026-03-09 15:37:37 | INFO | CityEngine | ========================================
2026-03-09 15:37:37 | INFO | CityEngine | Ground Zero City Intelligence Engine
2026-03-09 15:37:37 | INFO | CityEngine | System starting...
2026-03-09 15:37:37 | INFO | CityEngine | ========================================
2026-03-09 15:37:37 | INFO | CityEngine | Initializing Context Engine
2026-03-09 15:37:37 | INFO | CityEngine | Initializing Authenticity Engine
2026-03-09 15:37:37 | INFO | CityEngine | Initializing Review Intelligence Engine
2026-03-09 15:37:37 | INFO | CityEngine | Initializing Crowd Intelligence Engine
2026-03-09 15:37:37 | INFO | CityEngine | Initializing Mangalore Specialty Engine
2026-03-09 15:37:37 | INFO | CityEngine | All engines initialized successfully
2026-03-09 15:37:37 | INFO | CityEngine | Running Context Evaluation
2026-03-09 15:37:37 | INFO | CityEngine | Context Result: {'notify': False, 'context': {'time_signal': 'Neutral', 'energy_signal': 'Neutral', 'crowd_signal': 'Calm', 'safety_signal': 'Allowed'}}
2026-03-09 15:37:37 | INFO | CityEngine | Running Authenticity Scoring
2026-03-09 15:37:37 | INFO | CityEngine | Authenticity Score: 0.2
2026-03-09 15:37:37 | INFO | CityEngine | Running Review Intelligence
2026-03-09 15:37:37 | INFO | CityEngine | Review Intelligence: {'authenticity_score': 0.0, 'crowd_pressure': 0.0, 'hype_index': 0.0, 'tourist_trap_risk': 0.0, 'classification': 'low_authenticity'}
2026-03-09 15:37:37 | INFO | CityEngine | Running Crowd Intelligence
2026-03-09 15:37:38 | INFO | CityEngine | Crowd Level: {'crowd_score': 0.27999999999999997, 'crowd_level': 'low'}
2026-03-09 15:37:38 | INFO | CityEngine | Running Mangalore Specialty Engine
2026-03-09 15:37:38 | INFO | CityEngine | Mangalore Specialty Score: {'city': 'Mangalore', 'generated_at': '2026-03-09T10:07:38.225789', 'must_eat': [], 'must_visit': [], 'must_buy': [], 'note': 'Specialty dataset not found. Run specialty_dataset_builder first.'}
2026-03-09 15:37:38 | INFO | CityEngine | City Intelligence evaluation completed
2026-03-09 19:24:27 | INFO | CityEngine | ========================================
2026-03-09 19:24:27 | INFO | CityEngine | Ground Zero City Intelligence Engine
2026-03-09 19:24:27 | INFO | CityEngine | System starting...
2026-03-09 19:24:27 | INFO | CityEngine | ========================================
2026-03-09 19:24:27 | INFO | CityEngine | Initializing Context Engine
2026-03-09 19:24:27 | INFO | CityEngine | Initializing Authenticity Engine
2026-03-09 19:24:27 | INFO | CityEngine | Initializing Review Intelligence Engine
2026-03-09 19:24:27 | INFO | CityEngine | Initializing Crowd Intelligence Engine
